maturity,strike,price,type,ttm,rate
2025-05-30,205.0,6.23,call,0.024640657084188913,0.044612580678258934
2025-05-30,207.5,4.7,call,0.024640657084188913,0.044612580678258934
2025-05-30,210.0,3.3,call,0.024640657084188913,0.044612580678258934
2025-05-30,212.5,2.24,call,0.024640657084188913,0.044612580678258934
2025-05-30,215.0,1.47,call,0.024640657084188913,0.044612580678258934
2025-05-30,217.5,0.89,call,0.024640657084188913,0.044612580678258934
2025-05-30,220.0,0.57,call,0.024640657084188913,0.044612580678258934
2025-05-30,222.5,0.34,call,0.024640657084188913,0.044612580678258934
2025-05-30,225.0,0.23,call,0.024640657084188913,0.044612580678258934
2025-05-30,175.0,0.08,put,0.024640657084188913,0.044612580678258934
2025-05-30,187.5,0.22,put,0.024640657084188913,0.044612580678258934
2025-05-30,190.0,0.27,put,0.024640657084188913,0.044612580678258934
2025-05-30,195.0,0.52,put,0.024640657084188913,0.044612580678258934
2025-05-30,197.5,0.72,put,0.024640657084188913,0.044612580678258934
2025-05-30,200.0,1.01,put,0.024640657084188913,0.044612580678258934
2025-05-30,202.5,1.54,put,0.024640657084188913,0.044612580678258934
2025-05-30,205.0,2.13,put,0.024640657084188913,0.044612580678258934
2025-05-30,207.5,3.01,put,0.024640657084188913,0.044612580678258934
2025-05-30,210.0,4.11,put,0.024640657084188913,0.044612580678258934
2025-05-30,212.5,5.6,put,0.024640657084188913,0.044612580678258934
2025-06-06,205.0,7.3,call,0.04380561259411362,0.044510996845839944
2025-06-06,210.0,4.5,call,0.04380561259411362,0.044510996845839944
2025-06-06,215.0,2.35,call,0.04380561259411362,0.044510996845839944
2025-06-06,220.0,1.17,call,0.04380561259411362,0.044510996845839944
2025-06-06,225.0,0.57,call,0.04380561259411362,0.044510996845839944
2025-06-06,195.0,1.01,put,0.04380561259411362,0.044510996845839944
2025-06-06,200.0,1.81,put,0.04380561259411362,0.044510996845839944
2025-06-06,205.0,3.15,put,0.04380561259411362,0.044510996845839944
2025-06-06,210.0,5.16,put,0.04380561259411362,0.044510996845839944
2025-06-13,170.0,42.23,call,0.06297056810403832,0.044410912781155505
2025-06-13,210.0,5.7,call,0.06297056810403832,0.044410912781155505
2025-06-13,215.0,3.4,call,0.06297056810403832,0.044410912781155505
2025-06-13,220.0,1.99,call,0.06297056810403832,0.044410912781155505
2025-06-13,225.0,1.1,call,0.06297056810403832,0.044410912781155505
2025-06-13,185.0,0.74,put,0.06297056810403832,0.044410912781155505
2025-06-13,200.0,2.7,put,0.06297056810403832,0.044410912781155505
2025-06-13,205.0,4.2,put,0.06297056810403832,0.044410912781155505
2025-06-20,200.0,12.7,call,0.08213552361396304,0.0443123116771919
2025-06-20,205.0,9.24,call,0.08213552361396304,0.0443123116771919
2025-06-20,210.0,6.32,call,0.08213552361396304,0.0443123116771919
2025-06-20,215.0,4.05,call,0.08213552361396304,0.0443123116771919
2025-06-20,220.0,2.53,call,0.08213552361396304,0.0443123116771919
2025-06-20,225.0,1.43,call,0.08213552361396304,0.0443123116771919
2025-06-20,180.0,0.72,put,0.08213552361396304,0.0443123116771919
2025-06-20,185.0,1.0,put,0.08213552361396304,0.0443123116771919
2025-06-20,190.0,1.48,put,0.08213552361396304,0.0443123116771919
2025-06-20,195.0,2.21,put,0.08213552361396304,0.0443123116771919
2025-06-20,200.0,3.2,put,0.08213552361396304,0.0443123116771919
2025-06-20,205.0,4.76,put,0.08213552361396304,0.0443123116771919
2025-06-20,210.0,6.75,put,0.08213552361396304,0.0443123116771919
2025-06-27,210.0,7.21,call,0.10130047912388775,0.04421517690170473
2025-06-27,195.0,2.66,put,0.10130047912388775,0.04421517690170473
2025-07-18,210.0,9.25,call,0.15879534565366188,0.043932406808353044
2025-07-18,215.0,6.78,call,0.15879534565366188,0.043932406808353044
2025-07-18,220.0,4.75,call,0.15879534565366188,0.043932406808353044
2025-07-18,225.0,3.25,call,0.15879534565366188,0.043932406808353044
2025-07-18,175.0,1.38,put,0.15879534565366188,0.043932406808353044
2025-07-18,180.0,1.78,put,0.15879534565366188,0.043932406808353044
2025-07-18,195.0,4.0,put,0.15879534565366188,0.043932406808353044
2025-08-15,220.0,7.4,call,0.23545516769336072,0.04357492945844471
2025-09-19,225.0,7.7,call,0.33127994524298426,0.04315811008944108
2025-09-19,205.0,10.8,put,0.33127994524298426,0.04315811008944108
2025-11-21,200.0,11.63,put,0.5037645448323066,0.04248637937900672
2025-12-19,210.0,19.72,call,0.5804243668720055,0.04221809235203293
