maturity,strike,price,type,ttm,rate
2025-05-30,589.0,10.25,call,0.024640657084188913,0.044612580678258934
2025-05-30,590.0,9.42,call,0.024640657084188913,0.044612580678258934
2025-05-30,591.0,8.72,call,0.024640657084188913,0.044612580678258934
2025-05-30,592.0,8.25,call,0.024640657084188913,0.044612580678258934
2025-05-30,593.0,7.48,call,0.024640657084188913,0.044612580678258934
2025-05-30,594.0,6.89,call,0.024640657084188913,0.044612580678258934
2025-05-30,595.0,6.3,call,0.024640657084188913,0.044612580678258934
2025-05-30,600.0,3.85,call,0.024640657084188913,0.044612580678258934
2025-05-30,601.0,3.6,call,0.024640657084188913,0.044612580678258934
2025-05-30,602.0,3.02,call,0.024640657084188913,0.044612580678258934
2025-05-30,605.0,2.08,call,0.024640657084188913,0.044612580678258934
2025-05-30,606.0,1.79,call,0.024640657084188913,0.044612580678258934
2025-05-30,609.0,1.13,call,0.024640657084188913,0.044612580678258934
2025-05-30,610.0,0.97,call,0.024640657084188913,0.044612580678258934
2025-05-30,612.0,0.7,call,0.024640657084188913,0.044612580678258934
2025-05-30,615.0,0.39,call,0.024640657084188913,0.044612580678258934
2025-05-30,618.0,0.23,call,0.024640657084188913,0.044612580678258934
2025-05-30,620.0,0.16,call,0.024640657084188913,0.044612580678258934
2025-05-30,520.0,0.09,put,0.024640657084188913,0.044612580678258934
2025-05-30,530.0,0.12,put,0.024640657084188913,0.044612580678258934
2025-05-30,535.0,0.14,put,0.024640657084188913,0.044612580678258934
2025-05-30,540.0,0.16,put,0.024640657084188913,0.044612580678258934
2025-05-30,545.0,0.2,put,0.024640657084188913,0.044612580678258934
2025-05-30,550.0,0.26,put,0.024640657084188913,0.044612580678258934
2025-05-30,555.0,0.35,put,0.024640657084188913,0.044612580678258934
2025-05-30,556.0,0.38,put,0.024640657084188913,0.044612580678258934
2025-05-30,560.0,0.51,put,0.024640657084188913,0.044612580678258934
2025-05-30,562.0,0.58,put,0.024640657084188913,0.044612580678258934
2025-05-30,565.0,0.73,put,0.024640657084188913,0.044612580678258934
2025-05-30,568.0,0.9,put,0.024640657084188913,0.044612580678258934
2025-05-30,569.0,1.05,put,0.024640657084188913,0.044612580678258934
2025-05-30,570.0,1.05,put,0.024640657084188913,0.044612580678258934
2025-05-30,575.0,1.55,put,0.024640657084188913,0.044612580678258934
2025-05-30,577.0,1.81,put,0.024640657084188913,0.044612580678258934
2025-05-30,580.0,2.22,put,0.024640657084188913,0.044612580678258934
2025-05-30,582.0,2.5,put,0.024640657084188913,0.044612580678258934
2025-05-30,583.0,2.77,put,0.024640657084188913,0.044612580678258934
2025-05-30,584.0,2.7,put,0.024640657084188913,0.044612580678258934
2025-05-30,585.0,3.25,put,0.024640657084188913,0.044612580678258934
2025-05-30,586.0,3.44,put,0.024640657084188913,0.044612580678258934
2025-05-30,587.0,3.72,put,0.024640657084188913,0.044612580678258934
2025-05-30,588.0,4.03,put,0.024640657084188913,0.044612580678258934
2025-05-30,589.0,4.3,put,0.024640657084188913,0.044612580678258934
2025-05-30,590.0,4.62,put,0.024640657084188913,0.044612580678258934
2025-05-30,591.0,4.93,put,0.024640657084188913,0.044612580678258934
2025-05-30,592.0,5.31,put,0.024640657084188913,0.044612580678258934
2025-05-30,593.0,5.69,put,0.024640657084188913,0.044612580678258934
2025-05-30,594.0,6.08,put,0.024640657084188913,0.044612580678258934
2025-05-30,595.0,6.53,put,0.024640657084188913,0.044612580678258934
2025-06-06,592.0,10.41,call,0.04380561259411362,0.044510996845839944
2025-06-06,594.0,8.95,call,0.04380561259411362,0.044510996845839944
2025-06-06,595.0,8.39,call,0.04380561259411362,0.044510996845839944
2025-06-06,600.0,5.79,call,0.04380561259411362,0.044510996845839944
2025-06-06,605.0,3.75,call,0.04380561259411362,0.044510996845839944
2025-06-06,610.0,2.26,call,0.04380561259411362,0.044510996845839944
2025-06-06,615.0,1.27,call,0.04380561259411362,0.044510996845839944
2025-06-06,620.0,0.68,call,0.04380561259411362,0.044510996845839944
2025-06-06,500.0,0.18,put,0.04380561259411362,0.044510996845839944
2025-06-06,548.0,0.75,put,0.04380561259411362,0.044510996845839944
2025-06-06,550.0,0.8,put,0.04380561259411362,0.044510996845839944
2025-06-06,560.0,1.31,put,0.04380561259411362,0.044510996845839944
2025-06-06,565.0,1.63,put,0.04380561259411362,0.044510996845839944
2025-06-06,570.0,2.17,put,0.04380561259411362,0.044510996845839944
2025-06-06,575.0,2.82,put,0.04380561259411362,0.044510996845839944
2025-06-06,580.0,3.67,put,0.04380561259411362,0.044510996845839944
2025-06-06,585.0,4.71,put,0.04380561259411362,0.044510996845839944
2025-06-06,590.0,6.21,put,0.04380561259411362,0.044510996845839944
2025-06-13,580.0,21.26,call,0.06297056810403832,0.044410912781155505
2025-06-13,585.0,17.1,call,0.06297056810403832,0.044410912781155505
2025-06-13,595.0,10.13,call,0.06297056810403832,0.044410912781155505
2025-06-13,600.0,7.47,call,0.06297056810403832,0.044410912781155505
2025-06-13,605.0,5.13,call,0.06297056810403832,0.044410912781155505
2025-06-13,610.0,3.44,call,0.06297056810403832,0.044410912781155505
2025-06-13,615.0,2.15,call,0.06297056810403832,0.044410912781155505
2025-06-13,620.0,1.3,call,0.06297056810403832,0.044410912781155505
2025-06-13,625.0,0.77,call,0.06297056810403832,0.044410912781155505
2025-06-13,630.0,0.46,call,0.06297056810403832,0.044410912781155505
2025-06-13,555.0,1.77,put,0.06297056810403832,0.044410912781155505
2025-06-13,560.0,2.14,put,0.06297056810403832,0.044410912781155505
2025-06-13,565.0,2.45,put,0.06297056810403832,0.044410912781155505
2025-06-13,567.0,2.69,put,0.06297056810403832,0.044410912781155505
2025-06-13,570.0,3.2,put,0.06297056810403832,0.044410912781155505
2025-06-13,580.0,4.87,put,0.06297056810403832,0.044410912781155505
2025-06-13,585.0,5.85,put,0.06297056810403832,0.044410912781155505
2025-06-13,588.0,6.85,put,0.06297056810403832,0.044410912781155505
2025-06-13,593.0,8.29,put,0.06297056810403832,0.044410912781155505
2025-06-20,550.0,48.42,call,0.08213552361396304,0.0443123116771919
2025-06-20,580.0,22.15,call,0.08213552361396304,0.0443123116771919
2025-06-20,585.0,17.87,call,0.08213552361396304,0.0443123116771919
2025-06-20,590.0,14.51,call,0.08213552361396304,0.0443123116771919
2025-06-20,591.0,13.81,call,0.08213552361396304,0.0443123116771919
2025-06-20,592.0,12.96,call,0.08213552361396304,0.0443123116771919
2025-06-20,593.0,12.52,call,0.08213552361396304,0.0443123116771919
2025-06-20,594.0,11.73,call,0.08213552361396304,0.0443123116771919
2025-06-20,595.0,11.16,call,0.08213552361396304,0.0443123116771919
2025-06-20,597.0,9.95,call,0.08213552361396304,0.0443123116771919
2025-06-20,599.0,9.26,call,0.08213552361396304,0.0443123116771919
2025-06-20,600.0,8.37,call,0.08213552361396304,0.0443123116771919
2025-06-20,605.0,6.08,call,0.08213552361396304,0.0443123116771919
2025-06-20,610.0,4.2,call,0.08213552361396304,0.0443123116771919
2025-06-20,615.0,2.81,call,0.08213552361396304,0.0443123116771919
2025-06-20,620.0,1.81,call,0.08213552361396304,0.0443123116771919
2025-06-20,625.0,1.15,call,0.08213552361396304,0.0443123116771919
2025-06-20,630.0,0.7,call,0.08213552361396304,0.0443123116771919
2025-06-20,650.0,0.13,call,0.08213552361396304,0.0443123116771919
2025-06-20,480.0,0.38,put,0.08213552361396304,0.0443123116771919
2025-06-20,490.0,0.45,put,0.08213552361396304,0.0443123116771919
2025-06-20,500.0,0.55,put,0.08213552361396304,0.0443123116771919
2025-06-20,515.0,0.76,put,0.08213552361396304,0.0443123116771919
2025-06-20,520.0,0.88,put,0.08213552361396304,0.0443123116771919
2025-06-20,521.0,0.87,put,0.08213552361396304,0.0443123116771919
2025-06-20,525.0,1.0,put,0.08213552361396304,0.0443123116771919
2025-06-20,527.0,1.03,put,0.08213552361396304,0.0443123116771919
2025-06-20,530.0,1.17,put,0.08213552361396304,0.0443123116771919
2025-06-20,535.0,1.35,put,0.08213552361396304,0.0443123116771919
2025-06-20,538.0,1.45,put,0.08213552361396304,0.0443123116771919
2025-06-20,540.0,1.56,put,0.08213552361396304,0.0443123116771919
2025-06-20,545.0,1.83,put,0.08213552361396304,0.0443123116771919
2025-06-20,550.0,2.16,put,0.08213552361396304,0.0443123116771919
2025-06-20,555.0,2.55,put,0.08213552361396304,0.0443123116771919
2025-06-20,557.0,2.74,put,0.08213552361396304,0.0443123116771919
2025-06-20,559.0,2.85,put,0.08213552361396304,0.0443123116771919
2025-06-20,560.0,3.0,put,0.08213552361396304,0.0443123116771919
2025-06-20,562.0,3.23,put,0.08213552361396304,0.0443123116771919
2025-06-20,564.0,3.46,put,0.08213552361396304,0.0443123116771919
2025-06-20,565.0,3.59,put,0.08213552361396304,0.0443123116771919
2025-06-20,566.0,3.73,put,0.08213552361396304,0.0443123116771919
2025-06-20,570.0,4.28,put,0.08213552361396304,0.0443123116771919
2025-06-20,575.0,5.09,put,0.08213552361396304,0.0443123116771919
2025-06-20,580.0,6.09,put,0.08213552361396304,0.0443123116771919
2025-06-20,585.0,7.3,put,0.08213552361396304,0.0443123116771919
2025-06-20,588.0,8.15,put,0.08213552361396304,0.0443123116771919
2025-06-20,589.0,8.22,put,0.08213552361396304,0.0443123116771919
2025-06-20,590.0,8.82,put,0.08213552361396304,0.0443123116771919
2025-06-20,591.0,9.19,put,0.08213552361396304,0.0443123116771919
2025-06-20,592.0,9.53,put,0.08213552361396304,0.0443123116771919
2025-06-20,593.0,9.95,put,0.08213552361396304,0.0443123116771919
2025-06-20,594.0,10.3,put,0.08213552361396304,0.0443123116771919
2025-06-20,595.0,10.51,put,0.08213552361396304,0.0443123116771919
2025-06-20,600.0,13.1,put,0.08213552361396304,0.0443123116771919
2025-06-30,610.0,5.15,call,0.10951403148528405,0.044173992503372735
2025-06-30,615.0,3.71,call,0.10951403148528405,0.044173992503372735
2025-06-30,620.0,2.55,call,0.10951403148528405,0.044173992503372735
2025-06-30,520.0,1.34,put,0.10951403148528405,0.044173992503372735
2025-06-30,530.0,1.74,put,0.10951403148528405,0.044173992503372735
2025-06-30,550.0,3.03,put,0.10951403148528405,0.044173992503372735
2025-06-30,560.0,4.01,put,0.10951403148528405,0.044173992503372735
2025-06-30,570.0,5.38,put,0.10951403148528405,0.044173992503372735
2025-06-30,575.0,6.3,put,0.10951403148528405,0.044173992503372735
2025-06-30,580.0,7.33,put,0.10951403148528405,0.044173992503372735
2025-06-30,585.0,8.56,put,0.10951403148528405,0.044173992503372735
2025-06-30,590.0,9.97,put,0.10951403148528405,0.044173992503372735
2025-06-30,595.0,12.0,put,0.10951403148528405,0.044173992503372735
2025-07-18,600.0,13.15,call,0.15879534565366188,0.043932406808353044
2025-07-18,630.0,2.55,call,0.15879534565366188,0.043932406808353044
2025-07-18,495.0,1.5,put,0.15879534565366188,0.043932406808353044
2025-07-18,500.0,1.63,put,0.15879534565366188,0.043932406808353044
2025-07-18,505.0,1.81,put,0.15879534565366188,0.043932406808353044
2025-07-18,510.0,2.01,put,0.15879534565366188,0.043932406808353044
2025-07-18,520.0,2.47,put,0.15879534565366188,0.043932406808353044
2025-07-18,530.0,3.07,put,0.15879534565366188,0.043932406808353044
2025-07-18,540.0,3.86,put,0.15879534565366188,0.043932406808353044
2025-07-18,550.0,4.85,put,0.15879534565366188,0.043932406808353044
2025-07-18,551.0,4.9,put,0.15879534565366188,0.043932406808353044
2025-07-18,560.0,6.11,put,0.15879534565366188,0.043932406808353044
2025-07-18,570.0,7.74,put,0.15879534565366188,0.043932406808353044
2025-07-18,580.0,9.85,put,0.15879534565366188,0.043932406808353044
2025-07-18,585.0,11.18,put,0.15879534565366188,0.043932406808353044
2025-07-18,590.0,12.73,put,0.15879534565366188,0.043932406808353044
2025-07-31,490.0,1.87,put,0.1943874058863792,0.04376370739284183
2025-07-31,500.0,2.18,put,0.1943874058863792,0.04376370739284183
2025-07-31,530.0,3.9,put,0.1943874058863792,0.04376370739284183
2025-08-15,550.0,55.72,call,0.23545516769336072,0.04357492945844471
2025-08-15,620.0,8.27,call,0.23545516769336072,0.04357492945844471
2025-08-15,500.0,2.85,put,0.23545516769336072,0.04357492945844471
2025-08-15,550.0,7.21,put,0.23545516769336072,0.04357492945844471
2025-08-15,555.0,7.79,put,0.23545516769336072,0.04357492945844471
2025-08-15,560.0,8.71,put,0.23545516769336072,0.04357492945844471
2025-08-15,565.0,9.43,put,0.23545516769336072,0.04357492945844471
2025-08-15,585.0,14.02,put,0.23545516769336072,0.04357492945844471
2025-08-15,590.0,15.72,put,0.23545516769336072,0.04357492945844471
2025-09-19,595.0,26.31,call,0.33127994524298426,0.04315811008944108
2025-09-19,605.0,19.92,call,0.33127994524298426,0.04315811008944108
2025-09-19,500.0,4.53,put,0.33127994524298426,0.04315811008944108
2025-09-19,545.0,9.12,put,0.33127994524298426,0.04315811008944108
2025-09-19,550.0,9.98,put,0.33127994524298426,0.04315811008944108
2025-09-19,565.0,12.46,put,0.33127994524298426,0.04315811008944108
2025-09-19,570.0,13.71,put,0.33127994524298426,0.04315811008944108
2025-09-19,580.0,16.15,put,0.33127994524298426,0.04315811008944108
2025-09-19,585.0,17.38,put,0.33127994524298426,0.04315811008944108
2025-09-19,590.0,18.67,put,0.33127994524298426,0.04315811008944108
2025-09-30,545.0,10.17,put,0.3613963039014374,0.043033728888121306
2025-09-30,550.0,10.58,put,0.3613963039014374,0.043033728888121306
2025-09-30,593.0,20.85,put,0.3613963039014374,0.043033728888121306
2025-09-30,594.0,21.36,put,0.3613963039014374,0.043033728888121306
2025-10-17,600.0,26.77,call,0.4079397672826831,0.04284752003440422
2025-10-31,563.0,15.31,put,0.4462696783025325,0.04269953326851132
2025-10-31,590.0,22.57,put,0.4462696783025325,0.04269953326851132
2025-12-19,605.0,31.56,call,0.5804243668720055,0.04221809235203293
2025-12-19,615.0,25.73,call,0.5804243668720055,0.04221809235203293
2025-12-31,550.0,16.0,put,0.6132785763175906,0.042108497629393074
2026-01-16,530.0,13.36,put,0.6570841889117043,0.041967244922207284
2026-01-16,535.0,14.35,put,0.6570841889117043,0.041967244922207284
2026-01-16,550.0,17.05,put,0.6570841889117043,0.041967244922207284
2027-12-17,480.0,22.53,put,2.5735797399041753,0.03953725809640773
